Income,MntCoffee,MntGoldProds,NumWebVisitsMonth
64961.0,382.0,38.0,3.0
22804.0,,1.0,9.0
73687.0,559.0,181.0,2.0
61074.0,789.0,152.0,7.0
31686.0,11.0,1.0,6.0
80134.0,1218.0,80.0,
75027.0,925.0,77.0,5.0
67546.0,864.0,172.0,3.0
65176.0,960.0,70.0,6.0
31160.0,16.0,13.0,8.0
29938.0,3.0,11.0,6.0
102692.0,168.0,148.0,2.0
26490.0,45.0,25.0,6.0
75702.0,650.0,30.0,
30899.0,24.0,1.0,6.0
63342.0,918.0,21.0,6.0
45989.0,138.0,12.0,3.0
18701.0,12.0,10.0,5.0
40737.0,11.0,2.0,
15287.0,1.0,13.0,7.0
,554.0,24.0,5.0
,,7.0,
,9.0,5.0,9.0
43776.0,177.0,20.0,8.0
38179.0,,20.0,7.0
80124.0,483.0,241.0,
,77.0,69.0,7.0
72940.0,,116.0,
22070.0,10.0,21.0,6.0
69267.0,778.0,146.0,7.0
31788.0,16.0,6.0,
61905.0,167.0,13.0,5.0
29315.0,13.0,4.0,6.0
33378.0,33.0,10.0,7.0
66313.0,625.0,7.0,4.0
60714.0,216.0,162.0,5.0
77882.0,68.0,15.0,1.0
,196.0,54.0,1.0
63841.0,635.0,131.0,6.0
24480.0,4.0,17.0,7.0
51369.0,297.0,182.0,8.0
37760.0,,28.0,7.0
65640.0,204.0,66.0,2.0
44319.0,26.0,3.0,5.0
30631.0,15.0,20.0,7.0
75278.0,304.0,74.0,3.0
50898.0,285.0,135.0,5.0
79946.0,395.0,28.0,3.0
35416.0,248.0,51.0,8.0
32414.0,20.0,12.0,7.0
38361.0,39.0,14.0,7.0
82497.0,777.0,203.0,4.0
16626.0,8.0,13.0,
29672.0,9.0,8.0,6.0
55951.0,1241.0,40.0,8.0
35388.0,6.0,8.0,7.0
42386.0,65.0,11.0,8.0
,395.0,38.0,1.0
57912.0,801.0,35.0,5.0
35246.0,36.0,10.0,5.0
58821.0,513.0,28.0,
46377.0,37.0,0.0,4.0
39747.0,80.0,52.0,8.0
23976.0,14.0,25.0,7.0
80950.0,525.0,63.0,2.0
,1.0,15.0,9.0
77457.0,675.0,11.0,1.0
,509.0,10.0,7.0
42670.0,154.0,15.0,4.0
12571.0,3.0,17.0,6.0
22574.0,25.0,2.0,7.0
,861.0,61.0,
70893.0,768.0,14.0,
54198.0,185.0,17.0,4.0
28839.0,24.0,1.0,
40321.0,44.0,27.0,7.0
66503.0,91.0,50.0,3.0
30833.0,11.0,6.0,5.0
,738.0,20.0,7.0
64795.0,412.0,77.0,2.0
34421.0,3.0,9.0,7.0
47025.0,16.0,1.0,7.0
64325.0,731.0,73.0,7.0
,424.0,41.0,8.0
62187.0,792.0,126.0,3.0
14849.0,21.0,9.0,
27255.0,22.0,2.0,7.0
54432.0,33.0,0.0,4.0
29999.0,68.0,11.0,8.0
24072.0,9.0,4.0,8.0
33996.0,40.0,6.0,4.0
66334.0,909.0,23.0,5.0
35178.0,23.0,18.0,7.0
22010.0,11.0,8.0,8.0
62204.0,317.0,139.0,3.0
75693.0,797.0,30.0,
,10.0,21.0,8.0
83003.0,856.0,122.0,3.0
83532.0,755.0,,1.0
68655.0,456.0,38.0,
,37.0,18.0,6.0
,1103.0,34.0,8.0
59292.0,378.0,14.0,3.0
27190.0,,3.0,8.0
82623.0,204.0,173.0,1.0
44300.0,30.0,3.0,6.0
84835.0,189.0,218.0,
30372.0,15.0,7.0,7.0
33181.0,9.0,4.0,6.0
71113.0,495.0,8.0,4.0
71952.0,656.0,93.0,4.0
69759.0,452.0,0.0,3.0
72099.0,546.0,22.0,1.0
60000.0,,12.0,
38643.0,22.0,10.0,7.0
50737.0,78.0,10.0,6.0
68462.0,561.0,48.0,1.0
65073.0,629.0,8.0,2.0
46681.0,269.0,38.0,5.0
,736.0,61.0,
,512.0,41.0,4.0
,19.0,6.0,4.0
37717.0,9.0,5.0,
51479.0,247.0,65.0,7.0
54803.0,404.0,142.0,4.0
79530.0,333.0,29.0,2.0
31615.0,,9.0,7.0
72025.0,833.0,233.0,
52614.0,789.0,38.0,
35684.0,10.0,3.0,6.0
48178.0,159.0,38.0,8.0
29548.0,7.0,11.0,4.0
63810.0,,101.0,8.0
38578.0,38.0,3.0,8.0
46098.0,57.0,36.0,8.0
22585.0,3.0,39.0,9.0
30279.0,10.0,1.0,8.0
66426.0,1043.0,157.0,6.0
30822.0,3.0,12.0,7.0
33581.0,11.0,1.0,8.0
19986.0,3.0,6.0,7.0
27421.0,43.0,55.0,
35688.0,73.0,32.0,8.0
36143.0,12.0,6.0,
10245.0,4.0,13.0,5.0
43795.0,314.0,107.0,7.0
63381.0,571.0,159.0,2.0
38823.0,70.0,23.0,6.0
83664.0,866.0,86.0,5.0
90300.0,594.0,57.0,1.0
62499.0,140.0,4.0,4.0
74293.0,,81.0,
51012.0,102.0,24.0,6.0
70777.0,554.0,78.0,3.0
68682.0,919.0,45.0,2.0
43824.0,96.0,32.0,8.0
15345.0,5.0,19.0,8.0
23442.0,2.0,5.0,7.0
,6.0,35.0,7.0
31395.0,23.0,7.0,
75276.0,610.0,21.0,5.0
42373.0,67.0,19.0,5.0
30507.0,65.0,110.0,7.0
55521.0,416.0,4.0,7.0
48006.0,23.0,2.0,6.0
27213.0,19.0,3.0,8.0
65808.0,155.0,10.0,6.0
30351.0,14.0,2.0,9.0
50437.0,370.0,4.0,
23616.0,4.0,32.0,8.0
53858.0,407.0,26.0,4.0
66465.0,1200.0,14.0,6.0
46923.0,85.0,6.0,7.0
75072.0,583.0,125.0,3.0
,483.0,12.0,1.0
19789.0,2.0,28.0,5.0
80134.0,966.0,26.0,
91065.0,822.0,114.0,3.0
49505.0,604.0,28.0,8.0
37401.0,19.0,3.0,7.0
30096.0,5.0,9.0,6.0
18492.0,2.0,1.0,8.0
82584.0,1076.0,68.0,1.0
93027.0,1285.0,21.0,2.0
48686.0,10.0,1.0,8.0
,551.0,33.0,1.0
,800.0,57.0,6.0
10404.0,2.0,12.0,5.0
61314.0,378.0,172.0,3.0
84865.0,1248.0,16.0,4.0
42387.0,235.0,191.0,8.0
,515.0,95.0,7.0
75236.0,438.0,114.0,4.0
30015.0,25.0,5.0,5.0
50943.0,31.0,6.0,5.0
67272.0,357.0,14.0,5.0
,400.0,22.0,8.0
32011.0,,5.0,7.0
7500.0,1.0,9.0,8.0
28691.0,5.0,4.0,8.0
56223.0,77.0,4.0,4.0
18100.0,3.0,1.0,5.0
30279.0,10.0,1.0,8.0
20130.0,0.0,12.0,8.0
23295.0,0.0,5.0,8.0
42618.0,76.0,10.0,8.0
81246.0,398.0,37.0,1.0
,14.0,5.0,8.0
55707.0,208.0,35.0,3.0
57959.0,430.0,33.0,3.0
56796.0,656.0,37.0,7.0
36230.0,14.0,3.0,5.0
70829.0,141.0,23.0,3.0
65991.0,507.0,9.0,7.0
38988.0,164.0,42.0,8.0
,606.0,64.0,4.0
42207.0,116.0,46.0,6.0
50300.0,143.0,5.0,2.0
66664.0,398.0,32.0,3.0
60597.0,522.0,66.0,7.0
70165.0,161.0,122.0,1.0
50520.0,,14.0,6.0
80124.0,483.0,241.0,1.0
33183.0,7.0,37.0,7.0
66582.0,789.0,0.0,1.0
,1239.0,17.0,2.0
31880.0,,3.0,8.0
53790.0,335.0,5.0,6.0
49269.0,639.0,,7.0
61456.0,,,4.0
37406.0,2.0,3.0,8.0
56937.0,746.0,8.0,6.0
38415.0,22.0,4.0,7.0
20518.0,,9.0,5.0
62503.0,478.0,117.0,5.0
41644.0,20.0,2.0,3.0
,451.0,24.0,5.0
62010.0,,92.0,5.0
41124.0,281.0,119.0,8.0
38961.0,19.0,24.0,7.0
37760.0,26.0,0.0,6.0
32233.0,138.0,72.0,9.0
43057.0,213.0,5.0,5.0
83151.0,407.0,18.0,3.0
78825.0,483.0,18.0,3.0
65104.0,738.0,50.0,7.0
60093.0,502.0,90.0,6.0
14045.0,11.0,1.0,
28457.0,24.0,14.0,8.0
78952.0,1170.0,134.0,6.0
46310.0,185.0,14.0,8.0
,983.0,40.0,6.0
58308.0,691.0,130.0,8.0
55614.0,504.0,26.0,7.0
,317.0,12.0,5.0
55563.0,,2.0,3.0
78642.0,1396.0,17.0,6.0
67911.0,529.0,0.0,3.0
65275.0,388.0,,2.0
27203.0,,24.0,8.0
48330.0,28.0,0.0,5.0
24279.0,,108.0,8.0
64355.0,1047.0,153.0,8.0
50943.0,31.0,6.0,5.0
53653.0,815.0,108.0,6.0
65665.0,225.0,29.0,3.0
81217.0,493.0,84.0,1.0
34935.0,34.0,20.0,7.0
61250.0,382.0,59.0,5.0
39665.0,127.0,31.0,
60152.0,,91.0,3.0
48920.0,238.0,6.0,7.0
,,55.0,1.0
44124.0,,52.0,8.0
81169.0,1288.0,27.0,2.0
,65.0,20.0,8.0
26095.0,11.0,11.0,7.0
71367.0,227.0,75.0,2.0
80184.0,1035.0,0.0,3.0
30630.0,27.0,10.0,7.0
73454.0,982.0,175.0,5.0
42691.0,179.0,58.0,5.0
70503.0,,66.0,6.0
25545.0,32.0,85.0,6.0
32880.0,8.0,2.0,8.0
77863.0,881.0,12.0,2.0
50353.0,141.0,35.0,3.0
61839.0,1000.0,120.0,8.0
49154.0,206.0,71.0,6.0
47682.0,162.0,61.0,5.0
72679.0,,54.0,1.0
57954.0,456.0,9.0,7.0
65316.0,112.0,38.0,
28567.0,11.0,6.0,6.0
47352.0,172.0,15.0,7.0
44931.0,,7.0,
76982.0,464.0,30.0,4.0
57247.0,99.0,6.0,2.0
22944.0,19.0,26.0,7.0
25315.0,,22.0,8.0
43638.0,63.0,19.0,7.0
42710.0,252.0,102.0,6.0
,1478.0,0.0,3.0
,198.0,54.0,3.0
24683.0,8.0,6.0,5.0
85620.0,416.0,46.0,1.0
47850.0,42.0,10.0,6.0
19514.0,14.0,28.0,8.0
27159.0,17.0,1.0,6.0
39548.0,15.0,18.0,3.0
21474.0,6.0,34.0,7.0
60504.0,458.0,34.0,6.0
22419.0,30.0,42.0,8.0
81698.0,179.0,47.0,1.0
43462.0,90.0,15.0,8.0
54880.0,308.0,118.0,5.0
,557.0,111.0,2.0
15315.0,7.0,17.0,5.0
,1492.0,33.0,6.0
33039.0,30.0,12.0,5.0
81741.0,249.0,38.0,2.0
71499.0,465.0,37.0,4.0
62466.0,129.0,83.0,4.0
48799.0,174.0,24.0,3.0
52157.0,189.0,40.0,4.0
,747.0,42.0,8.0
,6.0,1.0,5.0
47691.0,14.0,4.0,6.0
38200.0,12.0,1.0,7.0
44989.0,,106.0,
38443.0,32.0,1.0,7.0
38593.0,51.0,24.0,
64413.0,200.0,20.0,
,25.0,0.0,8.0
,1050.0,24.0,5.0
51287.0,117.0,30.0,7.0
,9.0,7.0,8.0
47472.0,56.0,8.0,5.0
,145.0,4.0,
,203.0,2.0,6.0
40689.0,,99.0,8.0
,9.0,10.0,8.0
27450.0,37.0,52.0,7.0
,46.0,2.0,6.0
26850.0,31.0,9.0,4.0
79800.0,1060.0,224.0,3.0
61794.0,264.0,11.0,2.0
53863.0,399.0,30.0,7.0
24221.0,8.0,22.0,4.0
39684.0,19.0,17.0,7.0
92163.0,817.0,20.0,2.0
69882.0,292.0,165.0,1.0
33178.0,12.0,16.0,4.0
59973.0,130.0,0.0,1.0
,6.0,30.0,7.0
23910.0,16.0,13.0,7.0
42169.0,19.0,2.0,8.0
26224.0,4.0,15.0,
31089.0,31.0,4.0,8.0
30081.0,36.0,4.0,7.0
62807.0,526.0,99.0,5.0
,400.0,54.0,1.0
61467.0,,49.0,5.0
,80.0,14.0,7.0
21888.0,88.0,64.0,10.0
42429.0,55.0,4.0,5.0
26150.0,,1.0,7.0
30801.0,8.0,11.0,7.0
81168.0,410.0,22.0,
26877.0,,40.0,6.0
45006.0,162.0,10.0,3.0
18978.0,2.0,15.0,8.0
22574.0,25.0,2.0,
,,41.0,5.0
45837.0,215.0,24.0,7.0
35791.0,27.0,3.0,8.0
162397.0,85.0,2.0,1.0
54162.0,5.0,10.0,
30522.0,179.0,26.0,2.0
54456.0,352.0,15.0,6.0
31632.0,17.0,32.0,7.0
72298.0,625.0,35.0,1.0
36975.0,10.0,2.0,7.0
72635.0,390.0,107.0,3.0
13624.0,10.0,6.0,6.0
84196.0,215.0,190.0,3.0
70971.0,1001.0,17.0,7.0
34487.0,19.0,8.0,9.0
28769.0,,3.0,9.0
69084.0,1181.0,30.0,
65488.0,603.0,54.0,1.0
62466.0,129.0,83.0,4.0
32218.0,10.0,30.0,7.0
83917.0,514.0,79.0,3.0
46102.0,14.0,1.0,7.0
84574.0,,163.0,5.0
56181.0,121.0,48.0,4.0
63120.0,965.0,69.0,7.0
73691.0,707.0,73.0,2.0
63381.0,571.0,159.0,2.0
76140.0,586.0,26.0,2.0
62859.0,1063.0,25.0,6.0
45906.0,305.0,144.0,5.0
77632.0,1200.0,147.0,2.0
46463.0,163.0,11.0,6.0
105471.0,1009.0,207.0,3.0
,125.0,19.0,4.0
78710.0,721.0,50.0,4.0
66886.0,315.0,146.0,5.0
98777.0,1000.0,38.0,1.0
29103.0,16.0,6.0,9.0
67445.0,757.0,11.0,6.0
50616.0,30.0,9.0,2.0
49431.0,219.0,17.0,8.0
153924.0,1.0,1.0,0.0
61278.0,,15.0,6.0
26490.0,45.0,25.0,6.0
73059.0,410.0,71.0,
46734.0,,76.0,6.0
56253.0,509.0,5.0,6.0
19986.0,3.0,6.0,7.0
58330.0,445.0,151.0,
25965.0,2.0,11.0,8.0
14661.0,4.0,2.0,6.0
18690.0,6.0,19.0,8.0
45068.0,14.0,3.0,7.0
21063.0,1.0,15.0,6.0
,26.0,2.0,8.0
54690.0,111.0,18.0,3.0
59304.0,418.0,10.0,5.0
59247.0,327.0,83.0,6.0
66731.0,371.0,141.0,3.0
77353.0,275.0,59.0,4.0
52614.0,789.0,38.0,8.0
26751.0,1.0,1.0,8.0
81300.0,1004.0,36.0,5.0
70337.0,187.0,91.0,1.0
36145.0,56.0,18.0,9.0
65295.0,365.0,6.0,2.0
68118.0,595.0,154.0,6.0
68743.0,1132.0,115.0,7.0
41039.0,34.0,45.0,8.0
38946.0,116.0,41.0,5.0
65777.0,565.0,54.0,1.0
66476.0,372.0,78.0,4.0
86857.0,899.0,40.0,2.0
160803.0,55.0,4.0,
,760.0,26.0,1.0
69476.0,260.0,67.0,2.0
50611.0,459.0,4.0,6.0
61209.0,466.0,99.0,2.0
42315.0,67.0,80.0,3.0
13084.0,2.0,10.0,6.0
47570.0,67.0,31.0,7.0
61923.0,92.0,6.0,3.0
34824.0,4.0,4.0,6.0
26518.0,,2.0,8.0
45938.0,273.0,29.0,6.0
78468.0,434.0,34.0,4.0
78901.0,321.0,34.0,4.0
71427.0,,23.0,4.0
71022.0,909.0,242.0,8.0
90247.0,,16.0,1.0
41335.0,112.0,5.0,7.0
71952.0,656.0,93.0,4.0
35682.0,23.0,18.0,2.0
,537.0,30.0,8.0
66375.0,712.0,191.0,7.0
35178.0,23.0,18.0,
25252.0,1.0,6.0,8.0
55250.0,664.0,66.0,5.0
,6.0,42.0,6.0
58398.0,299.0,49.0,4.0
50272.0,99.0,4.0,7.0
76618.0,749.0,147.0,1.0
87305.0,345.0,80.0,2.0
25851.0,9.0,5.0,7.0
58710.0,440.0,174.0,6.0
45160.0,8.0,3.0,7.0
,670.0,9.0,4.0
59111.0,524.0,155.0,7.0
18988.0,6.0,1.0,7.0
72190.0,597.0,249.0,3.0
7500.0,7.0,32.0,9.0
44794.0,54.0,4.0,6.0
80395.0,445.0,48.0,2.0
75012.0,294.0,151.0,1.0
56962.0,,26.0,7.0
89891.0,,183.0,4.0
35946.0,8.0,0.0,5.0
53593.0,349.0,43.0,8.0
66373.0,328.0,109.0,3.0
45072.0,144.0,30.0,8.0
89694.0,1126.0,42.0,5.0
72025.0,967.0,0.0,2.0
67432.0,432.0,170.0,4.0
70545.0,138.0,21.0,2.0
17487.0,0.0,6.0,7.0
62882.0,,97.0,4.0
64108.0,948.0,21.0,5.0
34941.0,39.0,24.0,8.0
48767.0,28.0,10.0,5.0
38702.0,13.0,40.0,6.0
82224.0,307.0,40.0,3.0
83844.0,,191.0,1.0
,2.0,7.0,5.0
,283.0,44.0,1.0
33697.0,,11.0,
63564.0,769.0,65.0,6.0
83443.0,518.0,84.0,2.0
51518.0,350.0,4.0,3.0
58330.0,445.0,151.0,4.0
80952.0,778.0,44.0,8.0
,709.0,80.0,3.0
63855.0,359.0,89.0,4.0
,799.0,12.0,6.0
58512.0,895.0,152.0,8.0
40662.0,40.0,23.0,4.0
38829.0,76.0,16.0,5.0
35523.0,11.0,11.0,7.0
79146.0,245.0,16.0,6.0
78285.0,,40.0,3.0
31626.0,39.0,34.0,7.0
75127.0,203.0,227.0,1.0
48726.0,138.0,59.0,6.0
74985.0,587.0,86.0,2.0
67430.0,,121.0,6.0
46891.0,,61.0,4.0
62058.0,301.0,58.0,6.0
72063.0,180.0,90.0,
78939.0,794.0,205.0,3.0
42720.0,392.0,112.0,
33622.0,,12.0,7.0
6835.0,,12.0,20.0
41452.0,13.0,0.0,7.0
40760.0,,,6.0
74250.0,680.0,0.0,1.0
51124.0,26.0,4.0,3.0
72258.0,522.0,134.0,2.0
71466.0,412.0,0.0,1.0
36283.0,6.0,5.0,4.0
20587.0,2.0,9.0,7.0
30467.0,1.0,5.0,7.0
31590.0,6.0,3.0,8.0
20425.0,4.0,17.0,7.0
17144.0,18.0,6.0,7.0
42564.0,324.0,198.0,7.0
,,139.0,7.0
40780.0,229.0,34.0,9.0
62847.0,521.0,61.0,2.0
,184.0,23.0,2.0
16813.0,4.0,13.0,7.0
51267.0,183.0,12.0,4.0
46524.0,31.0,52.0,3.0
45183.0,219.0,12.0,7.0
70421.0,479.0,35.0,6.0
60161.0,,177.0,8.0
73926.0,627.0,15.0,3.0
,24.0,5.0,8.0
61872.0,330.0,16.0,4.0
46984.0,19.0,8.0,5.0
34838.0,28.0,47.0,6.0
82716.0,606.0,22.0,2.0
48192.0,1039.0,29.0,8.0
,411.0,21.0,7.0
56850.0,34.0,0.0,2.0
55267.0,161.0,45.0,3.0
59666.0,623.0,133.0,8.0
72504.0,604.0,94.0,2.0
26872.0,3.0,32.0,6.0
21359.0,12.0,10.0,8.0
73170.0,184.0,32.0,2.0
52750.0,393.0,69.0,4.0
,410.0,30.0,1.0
65968.0,376.0,4.0,3.0
30772.0,7.0,4.0,6.0
22507.0,68.0,68.0,9.0
65685.0,642.0,57.0,5.0
25804.0,8.0,12.0,8.0
76412.0,840.0,17.0,3.0
22063.0,7.0,11.0,7.0
57091.0,464.0,37.0,5.0
,30.0,42.0,8.0
87771.0,1492.0,33.0,6.0
78353.0,752.0,34.0,8.0
93404.0,1279.0,15.0,5.0
37859.0,22.0,2.0,8.0
80995.0,860.0,56.0,4.0
16529.0,3.0,1.0,6.0
55412.0,10.0,8.0,5.0
48789.0,351.0,145.0,6.0
56575.0,421.0,10.0,5.0
25130.0,2.0,18.0,7.0
,25.0,1.0,
71391.0,336.0,141.0,3.0
49494.0,191.0,82.0,7.0
81702.0,563.0,187.0,
45889.0,31.0,8.0,
56628.0,479.0,171.0,5.0
34026.0,18.0,17.0,5.0
40049.0,91.0,28.0,5.0
34176.0,5.0,20.0,6.0
19419.0,2.0,7.0,9.0
82504.0,362.0,54.0,1.0
81205.0,724.0,130.0,2.0
61618.0,605.0,205.0,3.0
55284.0,547.0,63.0,5.0
49980.0,104.0,14.0,5.0
15072.0,,18.0,5.0
49166.0,224.0,110.0,6.0
65324.0,384.0,5.0,4.0
82347.0,556.0,63.0,3.0
30843.0,,9.0,
46374.0,408.0,17.0,8.0
60474.0,265.0,170.0,7.0
38576.0,34.0,0.0,7.0
55357.0,374.0,64.0,5.0
37758.0,,1.0,8.0
85710.0,600.0,33.0,2.0
23228.0,13.0,0.0,
44602.0,167.0,34.0,8.0
7500.0,0.0,5.0,6.0
38683.0,46.0,66.0,7.0
,88.0,93.0,7.0
57906.0,243.0,15.0,4.0
43456.0,275.0,7.0,5.0
19485.0,6.0,0.0,7.0
53172.0,121.0,125.0,3.0
30545.0,4.0,12.0,7.0
